rank	image	gt_count	pred_count	abs_error	saved_vis
1	DSC01899_2_2.JPG	133	143	10	dense_review_conf020_iou030\01_DSC01899_2_2.JPG
2	IMG_20260321_160211_2_4.jpg	128	98	30	dense_review_conf020_iou030\02_IMG_20260321_160211_2_4.jpg
3	IMG_20260321_160211_2_2.jpg	116	86	30	dense_review_conf020_iou030\03_IMG_20260321_160211_2_2.jpg
4	DSC01894_2_1.JPG	104	117	13	dense_review_conf020_iou030\04_DSC01894_2_1.JPG
5	DSC01898_1_1.JPG	103	133	30	dense_review_conf020_iou030\05_DSC01898_1_1.JPG
6	IMG_20260321_172031_3_1.jpg	103	87	16	dense_review_conf020_iou030\06_IMG_20260321_172031_3_1.jpg
7	IMG_20260321_172031_3_4.jpg	98	83	15	dense_review_conf020_iou030\07_IMG_20260321_172031_3_4.jpg
8	IMG_20260321_172044_3_4.jpg	97	80	17	dense_review_conf020_iou030\08_IMG_20260321_172044_3_4.jpg
9	DSC01893_2_1.JPG	93	96	3	dense_review_conf020_iou030\09_DSC01893_2_1.JPG
10	DSC01897_2_1.JPG	87	100	13	dense_review_conf020_iou030\10_DSC01897_2_1.JPG
11	IMG_20260321_172044_3_2.jpg	86	91	5	dense_review_conf020_iou030\11_IMG_20260321_172044_3_2.jpg
12	IMG_20260321_172049_2_2.jpg	84	82	2	dense_review_conf020_iou030\12_IMG_20260321_172049_2_2.jpg
13	IMG_20260321_172049_2_1.jpg	80	82	2	dense_review_conf020_iou030\13_IMG_20260321_172049_2_1.jpg
14	DSC01655_1_2.JPG	76	63	13	dense_review_conf020_iou030\14_DSC01655_1_2.JPG
15	IMG_20260321_172044_3_3.jpg	75	67	8	dense_review_conf020_iou030\15_IMG_20260321_172044_3_3.jpg
16	DSC01895_2_0.JPG	71	93	22	dense_review_conf020_iou030\16_DSC01895_2_0.JPG
17	IMG_20260321_172035_3_1.jpg	71	61	10	dense_review_conf020_iou030\17_IMG_20260321_172035_3_1.jpg
18	DSC01935_2_1.JPG	70	73	3	dense_review_conf020_iou030\18_DSC01935_2_1.JPG
19	IMG_20260321_160155_2_2.jpg	69	51	18	dense_review_conf020_iou030\19_IMG_20260321_160155_2_2.jpg
20	IMG_20260321_160207_2_4.jpg	69	47	22	dense_review_conf020_iou030\20_IMG_20260321_160207_2_4.jpg
