exp_num	cds	mAP50	Recall	Precision	status	optimized_params
1	0.4540	0.4540	0.6260	0.4470	BEST	LR0=0.001 | LRF=0.0001 | MOSAIC=0.95 | MIXUP=0.4 | COPY_PASTE=0.3 | BOX=30.0 | CLS=0.7 | CONF=0.25 | IOU=0.6
2	0.4540	0.4540	0.6260	0.4470	DISCARD	none
3	0.4540	0.4540	0.6260	0.4470	DISCARD	LR0=0.01 | LRF=0.001 | MOSAIC=0.9 | MIXUP=0.5 | COPY_PASTE=0.4 | BOX=30.0 | CLS=0.8
4	0.4540	0.4540	0.6260	0.4470	DISCARD	LR0=0.001 | LRF=0.0001 | MOSAIC=0.95 | MIXUP=0.4 | COPY_PASTE=0.3 | BOX=30.0 | CLS=0.7 | CONF=0.25 | IOU=0.6
5	0.4540	0.4540	0.6260	0.4470	DISCARD	LR0=0.01 | LRF=0.001 | MOSAIC=0.95 | MIXUP=0.4 | COPY_PASTE=0.3 | BOX=50.0 | CLS=0.8 | CONF=0.25 | IOU=0.6
6	0.4540	0.4540	0.6260	0.4470	DISCARD	LR0=0.01 | LRF=0.001 | MOSAIC=0.95 | MIXUP=0.4 | COPY_PASTE=0.3 | BOX=50.0 | CLS=0.8
7	0.4540	0.4540	0.6260	0.4470	DISCARD	LR0=0.0001 | LRF=0.0001 | MOSAIC=0.95 | MIXUP=0.4 | COPY_PASTE=0.3 | BOX=60.0 | CLS=0.9 | CONF=0.25 | IOU=0.7
8	0.4540	0.4540	0.6260	0.4470	DISCARD	LR0=0.01 | LRF=0.001 | CONF=0.3 | IOU=0.75
9	0.4540	0.4540	0.6260	0.4470	DISCARD	LR0=0.001 | LRF=0.0001 | MOSAIC=0.95 | MIXUP=0.4 | COPY_PASTE=0.3 | BOX=60.0 | CLS=0.9 | CONF=0.25 | IOU=0.7
10	0.4540	0.4540	0.6260	0.4470	DISCARD	LR0=0.001 | LRF=0.0001 | MOSAIC=0.95 | MIXUP=0.4 | COPY_PASTE=0.3 | BOX=60.0 | CLS=0.9 | CONF=0.25 | IOU=0.7
11	0.4540	0.4540	0.6260	0.4470	DISCARD	LR0=0.001 | LRF=0.0001 | MOSAIC=0.95 | MIXUP=0.4 | COPY_PASTE=0.3 | BOX=60.0 | CLS=0.9 | CONF=0.25 | IOU=0.7
